title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,runtime,rating,introduction,produce_year
Spider-Man: No Way Home,/title/tt10872600/,https://www.metacritic.com/movie/spider-man-no-way-home?ftag=MCD-06-10aaa1c,"Action,Adventure,Fantasy",PG-13,475200,71.0,PG-13,148 min,148,8.7,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021
Licorice Pizza,/title/tt11271038/,https://www.metacritic.com/movie/licorice-pizza?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",R,39990,90.0,R,133 min,133,7.6,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",2021
Dune,/title/tt1160419/,https://www.metacritic.com/movie/dune-part-one?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,495468,74.0,PG-13,155 min,155,8.1,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,2021
CODA,/title/tt10366460/,https://www.metacritic.com/movie/coda-2021?ftag=MCD-06-10aaa1c,"Comedy,Drama,Music",PG-13,53577,74.0,PG-13,111 min,111,8.1,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.",2021
West Side Story,/title/tt3581652/,https://www.metacritic.com/movie/west-side-story-2020?ftag=MCD-06-10aaa1c,"Crime,Drama,Musical",PG-13,31979,85.0,PG-13,156 min,156,7.7,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",2021
Ghostbusters,/title/tt0087332/,https://www.metacritic.com/movie/ghostbusters?ftag=MCD-06-10aaa1c,"Action,Comedy,Fantasy",PG,400387,71.0,PG,105 min,105,7.8,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",1984
The Shawshank Redemption,/title/tt0111161/,https://www.metacritic.com/movie/the-shawshank-redemption?ftag=MCD-06-10aaa1c,Drama,R,2550370,80.0,R,142 min,142,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994
The Dark Knight,/title/tt0468569/,https://www.metacritic.com/movie/the-dark-knight?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",PG-13,2500970,84.0,PG-13,152 min,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008
Jurassic Park,/title/tt0107290/,https://www.metacritic.com/movie/jurassic-park?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",PG-13,934588,68.0,PG-13,127 min,127,8.1,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993
Avengers: Endgame,/title/tt4154796/,https://www.metacritic.com/movie/avengers-endgame?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,1017807,78.0,PG-13,181 min,181,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019
Interstellar,/title/tt0816692/,https://www.metacritic.com/movie/interstellar?ftag=MCD-06-10aaa1c,"Adventure,Drama,Sci-Fi",PG-13,1695401,74.0,PG-13,169 min,169,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2014
Once Upon a Time... In Hollywood,/title/tt7131622/,https://www.metacritic.com/movie/once-upon-a-time-in-hollywood?ftag=MCD-06-10aaa1c,"Comedy,Drama",R,672547,83.0,R,161 min,161,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,2019
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,1779646,92.0,PG-13,178 min,178,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001
The Godfather,/title/tt0068646/,https://www.metacritic.com/movie/the-godfather?ftag=MCD-06-10aaa1c,"Crime,Drama",R,1754345,100.0,R,175 min,175,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1972
Knives Out,/title/tt8946378/,https://www.metacritic.com/movie/knives-out?ftag=MCD-06-10aaa1c,"Comedy,Crime,Drama",PG-13,574628,82.0,PG-13,130 min,130,7.9,"A detective investigates the death of a patriarch of an eccentric, combative family.",2019
Titanic,/title/tt0120338/,https://www.metacritic.com/movie/titanic?ftag=MCD-06-10aaa1c,"Drama,Romance",PG-13,1122492,75.0,PG-13,194 min,194,7.8,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1997
The Wolf of Wall Street,/title/tt0993846/,https://www.metacritic.com/movie/the-wolf-of-wall-street?ftag=MCD-06-10aaa1c,"Biography,Comedy,Crime",R,1318433,75.0,R,180 min,180,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013
Stand by Me,/title/tt0092005/,https://www.metacritic.com/movie/stand-by-me?ftag=MCD-06-10aaa1c,"Adventure,Drama",R,388914,75.0,R,89 min,89,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",1986
Harry Potter and the Sorcerer's Stone,/title/tt0241527/,https://www.metacritic.com/movie/harry-potter-and-the-sorcerers-stone?ftag=MCD-06-10aaa1c,"Adventure,Family,Fantasy",PG,742509,65.0,PG,152 min,152,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",2001
Fight Club,/title/tt0137523/,https://www.metacritic.com/movie/fight-club?ftag=MCD-06-10aaa1c,Drama,R,2007831,66.0,R,139 min,139,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999
Parasite,/title/tt6751668/,https://www.metacritic.com/movie/parasite?ftag=MCD-06-10aaa1c,"Comedy,Drama,Thriller",R,720968,96.0,R,132 min,132,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019
Get Out,/title/tt5052448/,https://www.metacritic.com/movie/get-out?ftag=MCD-06-10aaa1c,"Horror,Mystery,Thriller",R,551388,85.0,R,104 min,104,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",2017
Avengers: Infinity War,/title/tt4154756/,https://www.metacritic.com/movie/avengers-infinity-war?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",PG-13,984980,68.0,PG-13,149 min,149,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018
Heat,/title/tt0113277/,https://www.metacritic.com/movie/heat?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",R,626407,76.0,R,170 min,170,8.2,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995
Pulp Fiction,/title/tt0110912/,https://www.metacritic.com/movie/pulp-fiction?ftag=MCD-06-10aaa1c,"Crime,Drama",R,1961076,94.0,R,154 min,154,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994
The Matrix,/title/tt0133093/,https://www.metacritic.com/movie/the-matrix?ftag=MCD-06-10aaa1c,"Action,Sci-Fi",R,1839349,73.0,R,136 min,136,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999
Deadpool,/title/tt1431045/,https://www.metacritic.com/movie/deadpool?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",R,981534,65.0,R,108 min,108,8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2016
Inception,/title/tt1375666/,https://www.metacritic.com/movie/inception?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",PG-13,2239675,74.0,PG-13,148 min,148,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010
Wind River,/title/tt5362988/,https://www.metacritic.com/movie/wind-river?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,238729,73.0,R,107 min,107,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,2017
Inglourious Basterds,/title/tt0361748/,https://www.metacritic.com/movie/inglourious-basterds?ftag=MCD-06-10aaa1c,"Adventure,Drama,War",R,1375546,69.0,R,153 min,153,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009
Blade Runner 2049,/title/tt1856101/,https://www.metacritic.com/movie/blade-runner-2049?ftag=MCD-06-10aaa1c,"Action,Drama,Mystery",R,529512,81.0,R,164 min,164,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",2017
Forrest Gump,/title/tt0109830/,https://www.metacritic.com/movie/forrest-gump?ftag=MCD-06-10aaa1c,"Drama,Romance",PG-13,1968123,82.0,PG-13,142 min,142,8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1994
Avatar,/title/tt0499549/,https://www.metacritic.com/movie/avatar?ftag=MCD-06-10aaa1c,"Action,Adventure,Fantasy",PG-13,1181290,83.0,PG-13,162 min,162,7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,2009
Schindler's List,/title/tt0108052/,https://www.metacritic.com/movie/schindlers-list?ftag=MCD-06-10aaa1c,"Biography,Drama,History",R,1301527,94.0,R,195 min,195,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993
Warrior,/title/tt1291584/,https://www.metacritic.com/movie/warrior?ftag=MCD-06-10aaa1c,"Action,Drama,Sport",PG-13,459169,71.0,PG-13,140 min,140,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011
Pride & Prejudice,/title/tt0414387/,https://www.metacritic.com/movie/pride-prejudice?ftag=MCD-06-10aaa1c,"Drama,Romance",PG,283441,82.0,PG,129 min,129,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",2005
Requiem for a Dream,/title/tt0180093/,https://www.metacritic.com/movie/requiem-for-a-dream?ftag=MCD-06-10aaa1c,Drama,R,812720,68.0,R,102 min,102,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000
Prisoners,/title/tt1392214/,https://www.metacritic.com/movie/prisoners?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,666143,70.0,R,153 min,153,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013
Gone Girl,/title/tt2267998/,https://www.metacritic.com/movie/gone-girl?ftag=MCD-06-10aaa1c,"Drama,Mystery,Thriller",R,938708,79.0,R,149 min,149,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014
American Psycho,/title/tt0144084/,https://www.metacritic.com/movie/american-psycho?ftag=MCD-06-10aaa1c,"Crime,Drama,Horror",R,551215,64.0,R,101 min,101,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",2000
The Dark Knight Rises,/title/tt1345836/,https://www.metacritic.com/movie/the-dark-knight-rises?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",PG-13,1621053,78.0,PG-13,164 min,164,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012
Spider-Man: Into the Spider-Verse,/title/tt4633694/,https://www.metacritic.com/movie/spider-man-into-the-spider-verse?ftag=MCD-06-10aaa1c,"Animation,Action,Adventure",PG,472861,87.0,PG,117 min,117,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018
Gladiator,/title/tt0172495/,https://www.metacritic.com/movie/gladiator?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",R,1437800,67.0,R,155 min,155,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000
Batman Begins,/title/tt0372784/,https://www.metacritic.com/movie/batman-begins?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",PG-13,1395777,70.0,PG-13,140 min,140,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005
The Hangover,/title/tt1119646/,https://www.metacritic.com/movie/the-hangover?ftag=MCD-06-10aaa1c,Comedy,R,759949,73.0,R,100 min,100,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",2009
1917,/title/tt8579674/,https://www.metacritic.com/movie/1917?ftag=MCD-06-10aaa1c,"Action,Drama,War",R,534159,78.0,R,119 min,119,8.3,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019
Whiplash,/title/tt2582802/,https://www.metacritic.com/movie/whiplash?ftag=MCD-06-10aaa1c,"Drama,Music",R,793912,88.0,R,106 min,106,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014
The Lord of the Rings: The Return of the King,/title/tt0167260/,https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,1757745,94.0,PG-13,201 min,201,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003
Star Wars,/title/tt0076759/,https://www.metacritic.com/movie/star-wars-episode-iv---a-new-hope?ftag=MCD-06-10aaa1c,"Action,Adventure,Fantasy",PG,1307630,90.0,PG,121 min,121,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977
The Silence of the Lambs,/title/tt0102926/,https://www.metacritic.com/movie/the-silence-of-the-lambs?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",R,1369524,85.0,R,118 min,118,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991
The Big Short,/title/tt1596363/,https://www.metacritic.com/movie/the-big-short?ftag=MCD-06-10aaa1c,"Biography,Comedy,Drama",R,409499,81.0,R,130 min,130,7.8,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",2015
Django Unchained,/title/tt1853728/,https://www.metacritic.com/movie/django-unchained?ftag=MCD-06-10aaa1c,"Drama,Western",R,1473948,81.0,R,165 min,165,8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",2012
Taxi Driver,/title/tt0075314/,https://www.metacritic.com/movie/taxi-driver-1976?ftag=MCD-06-10aaa1c,"Crime,Drama",R,785134,94.0,R,114 min,114,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1976
Little Women,/title/tt3281548/,https://www.metacritic.com/movie/little-women-2019?ftag=MCD-06-10aaa1c,"Drama,Romance",PG,185084,91.0,PG,135 min,135,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",2019
Guardians of the Galaxy,/title/tt2015381/,https://www.metacritic.com/movie/guardians-of-the-galaxy?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",PG-13,1126220,76.0,PG-13,121 min,121,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014
The Mitchells vs the Machines,/title/tt7979580/,https://www.metacritic.com/movie/the-mitchells-vs-the-machines?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG,92056,81.0,PG,113 min,113,7.7,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",2021
The Princess Bride,/title/tt0093779/,https://www.metacritic.com/movie/the-princess-bride?ftag=MCD-06-10aaa1c,"Adventure,Family,Fantasy",PG,418019,77.0,PG,98 min,98,8.1,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",1987
Se7en,/title/tt0114369/,https://www.metacritic.com/movie/seven?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,1563843,65.0,R,127 min,127,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995
Goodfellas,/title/tt0099685/,https://www.metacritic.com/movie/goodfellas?ftag=MCD-06-10aaa1c,"Biography,Crime,Drama",R,1101977,90.0,R,146 min,146,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990
Sicario,/title/tt3397884/,https://www.metacritic.com/movie/sicario?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",R,410527,82.0,R,121 min,121,7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015
The Prestige,/title/tt0482571/,https://www.metacritic.com/movie/the-prestige?ftag=MCD-06-10aaa1c,"Drama,Mystery,Thriller",PG-13,1279217,66.0,PG-13,130 min,130,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006
The Father,/title/tt10272386/,https://www.metacritic.com/movie/the-father?ftag=MCD-06-10aaa1c,"Drama,Mystery",PG-13,126198,88.0,PG-13,97 min,97,8.3,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020
The Grand Budapest Hotel,/title/tt2278388/,https://www.metacritic.com/movie/the-grand-budapest-hotel?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Crime",R,771122,88.0,R,99 min,99,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",2014
The Departed,/title/tt0407887/,https://www.metacritic.com/movie/the-departed?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",R,1272057,85.0,R,151 min,151,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006
Shutter Island,/title/tt1130884/,https://www.metacritic.com/movie/shutter-island?ftag=MCD-06-10aaa1c,"Mystery,Thriller",R,1239462,63.0,R,138 min,138,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",2010
Call Me by Your Name,/title/tt5726616/,https://www.metacritic.com/movie/call-me-by-your-name?ftag=MCD-06-10aaa1c,"Drama,Romance",R,251734,93.0,R,132 min,132,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",2017
Hacksaw Ridge,/title/tt2119532/,https://www.metacritic.com/movie/hacksaw-ridge?ftag=MCD-06-10aaa1c,"Biography,Drama,History",R,491555,71.0,R,139 min,139,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",2016
Saving Private Ryan,/title/tt0120815/,https://www.metacritic.com/movie/saving-private-ryan?ftag=MCD-06-10aaa1c,"Drama,War",R,1330185,91.0,R,169 min,169,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998
Mad Max: Fury Road,/title/tt1392190/,https://www.metacritic.com/movie/mad-max-fury-road?ftag=MCD-06-10aaa1c,"Action,Adventure,Sci-Fi",R,955867,90.0,R,120 min,120,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015
The Green Mile,/title/tt0120689/,https://www.metacritic.com/movie/the-green-mile?ftag=MCD-06-10aaa1c,"Crime,Drama,Fantasy",R,1240554,61.0,R,189 min,189,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999
Léon: The Professional,/title/tt0110413/,https://www.metacritic.com/movie/the-professional?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",R,1113679,64.0,R,110 min,110,8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994
Deadpool 2,/title/tt5463162/,https://www.metacritic.com/movie/deadpool-2?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",R,542778,66.0,R,119 min,119,7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",2018
Back to the Future,/title/tt0088763/,https://www.metacritic.com/movie/back-to-the-future?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Sci-Fi",PG,1145973,87.0,PG,116 min,116,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1985
American Beauty,/title/tt0169547/,https://www.metacritic.com/movie/american-beauty?ftag=MCD-06-10aaa1c,Drama,R,1123640,84.0,R,122 min,122,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999
No Country for Old Men,/title/tt0477348/,https://www.metacritic.com/movie/no-country-for-old-men?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",R,929350,91.0,R,122 min,122,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007
There Will Be Blood,/title/tt0469494/,https://www.metacritic.com/movie/there-will-be-blood?ftag=MCD-06-10aaa1c,Drama,R,562032,93.0,R,158 min,158,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007
Harry Potter and the Goblet of Fire,/title/tt0330373/,https://www.metacritic.com/movie/harry-potter-and-the-goblet-of-fire?ftag=MCD-06-10aaa1c,"Adventure,Family,Fantasy",PG-13,599711,81.0,PG-13,157 min,157,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",2005
Pirates of the Caribbean: The Curse of the Black Pearl,/title/tt0325980/,https://www.metacritic.com/movie/pirates-of-the-caribbean-the-curse-of-the-black-pearl?ftag=MCD-06-10aaa1c,"Action,Adventure,Fantasy",PG-13,1064269,63.0,PG-13,143 min,143,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2003
Thor: Ragnarok,/title/tt3501632/,https://www.metacritic.com/movie/thor-ragnarok?ftag=MCD-06-10aaa1c,"Action,Adventure,Comedy",PG-13,682365,74.0,PG-13,130 min,130,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",2017
12 Angry Men,/title/tt0050083/,https://www.metacritic.com/movie/12-angry-men?ftag=MCD-06-10aaa1c,"Crime,Drama",Approved,753731,96.0,Approved,96 min,96,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957
Eternal Sunshine of the Spotless Mind,/title/tt0338013/,https://www.metacritic.com/movie/eternal-sunshine-of-the-spotless-mind?ftag=MCD-06-10aaa1c,"Drama,Romance,Sci-Fi",R,969988,89.0,R,108 min,108,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2004
Moana,/title/tt3521164/,https://www.metacritic.com/movie/moana?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG,313632,81.0,PG,107 min,107,7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016
Donnie Darko,/title/tt0246578/,https://www.metacritic.com/movie/donnie-darko-the-directors-cut?ftag=MCD-06-10aaa1c,"Drama,Mystery,Sci-Fi",R,777133,88.0,R,113 min,113,8.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",2001
Good Will Hunting,/title/tt0119217/,https://www.metacritic.com/movie/good-will-hunting?ftag=MCD-06-10aaa1c,"Drama,Romance",R,926389,70.0,R,126 min,126,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997
The Goonies,/title/tt0089218/,https://www.metacritic.com/movie/the-goonies?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Family",PG,262419,62.0,PG,114 min,114,7.8,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,1985
Apocalypse Now,/title/tt0078788/,https://www.metacritic.com/movie/apocalypse-now?ftag=MCD-06-10aaa1c,"Drama,Mystery,War",R,644479,94.0,R,147 min,147,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979
Braveheart,/title/tt0112573/,https://www.metacritic.com/movie/braveheart?ftag=MCD-06-10aaa1c,"Biography,Drama,History",R,1008327,68.0,R,178 min,178,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995
Blade Runner,/title/tt0083658/,https://www.metacritic.com/movie/blade-runner?ftag=MCD-06-10aaa1c,"Action,Drama,Sci-Fi",R,741343,84.0,R,117 min,117,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1982
The Lord of the Rings: The Two Towers,/title/tt0167261/,https://www.metacritic.com/movie/the-lord-of-the-rings-the-two-towers?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG,1588127,87.0,PG,179 min,179,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002
Hamilton,/title/tt8503618/,https://www.metacritic.com/movie/hamilton-2020?ftag=MCD-06-10aaa1c,"Biography,Drama,History",PG-13,83434,90.0,PG-13,160 min,160,8.4,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020
