title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,runtime,rating,introduction,produce_year
Sing Street,/title/tt3544112/,https://www.metacritic.com/movie/sing-street?ftag=MCD-06-10aaa1c,"Comedy,Drama,Music",PG-13,91330,79.0,PG-13,106 min,106,7.9,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2016
How to Train Your Dragon 2,/title/tt1646971/,https://www.metacritic.com/movie/how-to-train-your-dragon-2?ftag=MCD-06-10aaa1c,"Animation,Action,Adventure",PG,324096,77.0,PG,102 min,102,7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014
For a Few Dollars More,/title/tt0059578/,https://www.metacritic.com/movie/for-a-few-dollars-more?ftag=MCD-06-10aaa1c,Western,R,249163,74.0,R,132 min,132,8.2,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,1965
8½,/title/tt0056801/,https://www.metacritic.com/movie/-1963?ftag=MCD-06-10aaa1c,Drama,Not Rated,115636,91.0,Not Rated,138 min,138,8.0,A harried movie director retreats into his memories and fantasies.,1963
Once,/title/tt0907657/,https://www.metacritic.com/movie/once?ftag=MCD-06-10aaa1c,"Drama,Music,Romance",R,115126,88.0,R,86 min,86,7.8,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",2007
The Raid 2,/title/tt2265171/,https://www.metacritic.com/movie/the-raid-2?ftag=MCD-06-10aaa1c,"Action,Crime,Thriller",R,120743,71.0,R,150 min,150,8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",2014
The Fall,/title/tt0460791/,https://www.metacritic.com/movie/the-fall?ftag=MCD-06-10aaa1c,"Adventure,Drama,Fantasy",R,110940,64.0,R,117 min,117,7.8,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",2006
Roman Holiday,/title/tt0046250/,https://www.metacritic.com/movie/roman-holiday?ftag=MCD-06-10aaa1c,"Comedy,Romance",Passed,135638,78.0,Passed,118 min,118,8.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,1953
The Bridges of Madison County,/title/tt0112579/,https://www.metacritic.com/movie/the-bridges-of-madison-county?ftag=MCD-06-10aaa1c,"Drama,Romance",PG-13,79161,69.0,PG-13,135 min,135,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,1995
From Here to Eternity,/title/tt0045793/,https://www.metacritic.com/movie/from-here-to-eternity-re-release?ftag=MCD-06-10aaa1c,"Drama,Romance,War",Passed,46102,85.0,Passed,118 min,118,7.6,"At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.",1953
Bonnie and Clyde,/title/tt0061418/,https://www.metacritic.com/movie/bonnie-and-clyde?ftag=MCD-06-10aaa1c,"Action,Biography,Crime",R,110153,86.0,R,111 min,111,7.8,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967
The Dirty Dozen,/title/tt0061578/,https://www.metacritic.com/movie/the-dirty-dozen?ftag=MCD-06-10aaa1c,"Action,Adventure,War",Approved,71348,73.0,Approved,150 min,150,7.7,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",1967
The Iron Giant,/title/tt0129167/,https://www.metacritic.com/movie/the-iron-giant?ftag=MCD-06-10aaa1c,"Animation,Action,Adventure",PG,185418,85.0,PG,86 min,86,8.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1999
Sabrina,/title/tt0047437/,https://www.metacritic.com/movie/sabrina?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",Passed,63492,72.0,Passed,113 min,113,7.6,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",1954
Klaus,/title/tt4729430/,https://www.metacritic.com/movie/klaus?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG,138808,65.0,PG,96 min,96,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",2019
Rebel Without a Cause,/title/tt0048545/,https://www.metacritic.com/movie/rebel-without-a-cause?ftag=MCD-06-10aaa1c,Drama,PG-13,88615,89.0,PG-13,111 min,111,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",1955
All That Jazz,/title/tt0078754/,https://www.metacritic.com/movie/all-that-jazz?ftag=MCD-06-10aaa1c,"Drama,Music,Musical",R,30794,72.0,R,123 min,123,7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",1979
All the President's Men,/title/tt0074119/,https://www.metacritic.com/movie/all-the-presidents-men?ftag=MCD-06-10aaa1c,"Drama,History,Thriller",PG,112160,84.0,PG,138 min,138,8.0,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",1976
A Streetcar Named Desire,/title/tt0044081/,https://www.metacritic.com/movie/a-streetcar-named-desire?ftag=MCD-06-10aaa1c,Drama,PG,105858,97.0,PG,122 min,122,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,1951
Hotel Rwanda,/title/tt0395169/,https://www.metacritic.com/movie/hotel-rwanda?ftag=MCD-06-10aaa1c,"Biography,Drama,History",PG-13,348765,79.0,PG-13,121 min,121,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2004
Sling Blade,/title/tt0117666/,https://www.metacritic.com/movie/sling-blade?ftag=MCD-06-10aaa1c,Drama,R,92465,84.0,R,135 min,135,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",1996
The Insider,/title/tt0140352/,https://www.metacritic.com/movie/the-insider?ftag=MCD-06-10aaa1c,"Biography,Drama,Thriller",R,168235,84.0,R,157 min,157,7.8,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,1999
The Artist,/title/tt1655442/,https://www.metacritic.com/movie/the-artist?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",PG-13,238469,89.0,PG-13,100 min,100,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,2011
The Outlaw Josey Wales,/title/tt0075029/,https://www.metacritic.com/movie/the-outlaw-josey-wales?ftag=MCD-06-10aaa1c,Western,PG,71680,69.0,PG,135 min,135,7.8,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,1976
