title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,introduction,produce_year,runtime,rating
Gilda,/title/tt0038559/,https://www.metacritic.com/movie/kagemusha?ftag=MCD-06-10aaa1c,"Drama,Film-Noir,Romance",Approved,31603,,Approved,110 min,"
A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.",1946,110,7.6
Shadow of a Doubt,/title/tt0036342/,https://www.metacritic.com/movie/shadow-of-a-doubt?ftag=MCD-06-10aaa1c,"Film-Noir,Thriller",PG,64009,94,PG,108 min,"
A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",1943,108,7.8
Sunrise,/title/tt0018455/,https://www.metacritic.com/movie/shadow-of-a-doubt?ftag=MCD-06-10aaa1c,"Drama,Romance",Passed,50323,,Passed,94 min,"
A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",1927,94,8.1
The Broken Circle Breakdown,/title/tt2024519/,https://www.metacritic.com/movie/the-broken-circle-breakdown?ftag=MCD-06-10aaa1c,"Drama,Music,Romance",Not Rated,40812,70,Not Rated,111 min,"
Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",2012,111,7.7
The Bride of Frankenstein,/title/tt0026138/,https://www.metacritic.com/movie/the-bride-of-frankenstein?ftag=MCD-06-10aaa1c,"Drama,Horror,Sci-Fi",Not Rated,47123,95,Not Rated,75 min,"
Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",1935,75,7.8
Nostalghia,/title/tt0086022/,https://www.metacritic.com/movie/the-bride-of-frankenstein?ftag=MCD-06-10aaa1c,Drama,Not Rated,26209,,Not Rated,125 min,"
A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",1983,125,8.1
A Wednesday,/title/tt1280558/,https://www.metacritic.com/movie/the-bride-of-frankenstein?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",Not Rated,77413,,Not Rated,104 min,"
A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.",2008,104,8.1
Eyes Without a Face,/title/tt0053459/,https://www.metacritic.com/movie/eyes-without-a-face-re-release?ftag=MCD-06-10aaa1c,"Drama,Horror",Not Rated,30664,90,Not Rated,90 min,"
A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.",1960,90,7.7
A Man for All Seasons,/title/tt0060665/,https://www.metacritic.com/movie/a-man-for-all-seasons?ftag=MCD-06-10aaa1c,"Biography,Drama,History",G,33921,72,G,120 min,"
The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",1966,120,7.7
Three Colors: White,/title/tt0111507/,https://www.metacritic.com/movie/three-colors-white?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",R,71419,88,R,92 min,"
After his wife divorces him, a Polish immigrant plots to get even with her.",1994,92,7.6
